Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_ovr,map,training_time,confusion_matrix
20260129_215029,Fusion_FFTs_MFCCs_STFT,Scaled,KNN,0.845,0.8451514801690474,0.9573166666666668,0.8959860514445395,0.0049097537994384,fusion_ffts_mfccs_stft_scaled_knn_20260129_215029.joblib,0.8484795321637427,0.845,0.8451514801690474,0.8484795321637426,0.845,0.8451514801690475,0.9573166666666668,0.8959860514445395,0.0049097537994384766,"[[43, 4, 2, 1], [5, 40, 4, 1], [0, 3, 45, 2], [2, 1, 6, 41]]"
20260129_212631,STFT,Raw,KNN,0.845,0.8453956088631012,0.9379666666666666,0.8314637737060291,0.0050368309020996,stft_raw_knn_20260129_212631.joblib,0.8478494389208675,0.845,0.8453956088631012,0.8478494389208674,0.845,0.8453956088631012,0.9379666666666666,0.8314637737060291,0.005036830902099609,"[[44, 5, 1, 0], [5, 40, 4, 1], [2, 3, 43, 2], [3, 1, 4, 42]]"
20260129_212631,STFT,Scaled,KNN,0.845,0.845555048942654,0.9454833333333332,0.8424797119663594,0.0022079944610595,stft_scaled_knn_20260129_212631.joblib,0.8478338288120897,0.845,0.845555048942654,0.8478338288120898,0.845,0.845555048942654,0.9454833333333332,0.8424797119663594,0.0022079944610595703,"[[43, 6, 1, 0], [5, 40, 4, 1], [3, 2, 43, 2], [3, 0, 4, 43]]"
20260129_215234,Fusion_FFTs_MFCC_STFT,Scaled,KNN,0.835,0.8349264246403169,0.95265,0.8865571683443978,0.0050256252288818,fusion_ffts_mfcc_stft_scaled_knn_20260129_215234.joblib,0.840158707014661,0.835,0.8349264246403169,0.840158707014661,0.835,0.8349264246403169,0.95265,0.8865571683443978,0.005025625228881836,"[[44, 3, 2, 1], [6, 38, 5, 1], [0, 3, 45, 2], [1, 2, 7, 40]]"
20260129_215234,Fusion_FFTs_MFCC_STFT,Scaled,SVM,0.83,0.8284860414778568,0.9692666666666664,0.924301154266946,59.36902046203613,fusion_ffts_mfcc_stft_scaled_svm_20260129_215234.joblib,0.8365611567843535,0.83,0.8284860414778568,0.8365611567843536,0.83,0.8284860414778566,0.9692666666666665,0.924301154266946,59.36902046203613,"[[45, 4, 1, 0], [10, 34, 5, 1], [0, 3, 46, 1], [1, 1, 7, 41]]"
20260129_215029,Fusion_FFTs_MFCCs_STFT,Scaled,SVM,0.82,0.8187524328866201,0.9700333333333334,0.9262142960587916,44.13159823417664,fusion_ffts_mfccs_stft_scaled_svm_20260129_215029.joblib,0.8245042773424045,0.82,0.8187524328866201,0.8245042773424046,0.82,0.8187524328866203,0.9700333333333334,0.9262142960587917,44.131598234176636,"[[45, 4, 1, 0], [10, 34, 5, 1], [0, 4, 44, 2], [1, 1, 7, 41]]"
20260129_212200,FFTs,Raw,SVM,0.815,0.8124745043648527,0.9607,0.9139674256910124,15.974801540374756,ffts_raw_svm_20260129_212200.joblib,0.8146655961600738,0.815,0.8124745043648527,0.8146655961600738,0.815,0.8124745043648528,0.9606999999999999,0.9139674256910123,15.974801540374756,"[[44, 2, 3, 1], [9, 33, 5, 3], [0, 6, 41, 3], [1, 0, 4, 45]]"
20260129_213401,STFTs,Raw,SVM,0.805,0.8046538615446178,0.9500666666666666,0.8743971926769238,17.955243349075317,stfts_raw_svm_20260129_213401.joblib,0.8046153846153845,0.8049999999999999,0.8046538615446178,0.8046153846153845,0.805,0.8046538615446178,0.9500666666666666,0.8743971926769238,17.955243349075317,"[[41, 6, 3, 0], [8, 36, 3, 3], [1, 4, 41, 4], [0, 2, 5, 43]]"
20260129_213827,Fusion_FFTs_STFTs,Raw,SVM,0.8,0.7975525710897586,0.9551,0.9020606544916362,67.63246321678162,fusion_ffts_stfts_raw_svm_20260129_213827.joblib,0.799282212885154,0.7999999999999999,0.7975525710897586,0.799282212885154,0.8,0.7975525710897585,0.9551000000000001,0.9020606544916362,67.63246321678162,"[[43, 3, 3, 1], [7, 33, 5, 5], [0, 6, 39, 5], [1, 0, 4, 45]]"
20260129_215029,Fusion_FFTs_MFCCs_STFT,Raw,KNN,0.795,0.7958372047596897,0.9490833333333332,0.8886143654483749,0.0057175159454345,fusion_ffts_mfccs_stft_raw_knn_20260129_215029.joblib,0.8026486126197294,0.7949999999999999,0.7958372047596897,0.8026486126197294,0.795,0.7958372047596896,0.9490833333333333,0.8886143654483749,0.00571751594543457,"[[43, 5, 1, 1], [7, 36, 6, 1], [0, 7, 42, 1], [2, 2, 8, 38]]"
20260129_215029,Fusion_FFTs_MFCCs_STFT,Raw,SVM,0.785,0.7845110108996732,0.9459666666666666,0.8662264953662309,37.12123322486877,fusion_ffts_mfccs_stft_raw_svm_20260129_215029.joblib,0.7946512707352661,0.7849999999999999,0.7845110108996732,0.7946512707352662,0.785,0.7845110108996732,0.9459666666666666,0.8662264953662309,37.121233224868774,"[[43, 6, 1, 0], [11, 32, 6, 1], [3, 3, 43, 1], [0, 2, 9, 39]]"
20260129_215029,Fusion_FFTs_MFCCs_STFT,Raw,RF,0.78,0.7789788090297429,0.9445333333333332,0.8613925221399609,7.165728092193604,fusion_ffts_mfccs_stft_raw_rf_20260129_215029.joblib,0.8009622200423875,0.78,0.7789788090297429,0.8009622200423874,0.78,0.7789788090297428,0.9445333333333333,0.8613925221399609,7.1657280921936035,"[[46, 3, 1, 0], [10, 33, 7, 0], [1, 5, 43, 1], [1, 2, 13, 34]]"
