Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File
20260129_212200,FFTs,Raw,ET,0.73,0.7307591216981948,0.9313333333333332,0.8300580000740475,0.4350621700286865,ffts_raw_et_20260129_212200.joblib
20260129_214850,Fusion_PCA(FFTs+MFCCs+STFT),Individual_PCA,ET,0.725,0.7223837033834037,0.91765,0.814865589682501,0.3413741588592529,fusion_ffts_mfccs_stft_pca_et_20260129_214850.joblib
20260129_214623,Fusion_PCA(FFT+MFCC+STFT),Individual_PCA,ET,0.725,0.7223837033834037,0.91765,0.814865589682501,0.3970448970794678,fusion_pca_et_20260129_214623.joblib
20260129_213827,Fusion_FFTs_STFTs,Raw,ET,0.725,0.7241665018206359,0.94015,0.8531760250750428,0.8823757171630859,fusion_ffts_stfts_raw_et_20260129_213827.joblib
20260129_213827,Fusion_FFTs_STFTs,Scaled,ET,0.725,0.7241665018206359,0.94025,0.8533012394891372,0.7555339336395264,fusion_ffts_stfts_scaled_et_20260129_213827.joblib
20260129_212200,FFTs,Scaled,ET,0.72,0.720943591554087,0.93055,0.8266674287711696,0.5125277042388916,ffts_scaled_et_20260129_212200.joblib
20260129_213401,STFTs,Scaled,KNN,0.71,0.7112743886937436,0.8856999999999999,0.7255710022726825,0.0041751861572265,stfts_scaled_knn_20260129_213401.joblib
20260129_213401,STFTs,Scaled,ET,0.705,0.7059611622668795,0.9150166666666668,0.7883164786504201,0.4732193946838379,stfts_scaled_et_20260129_213401.joblib
20260129_213401,STFTs,Raw,ET,0.705,0.7059611622668795,0.9151166666666666,0.7886416319808277,0.8544738292694092,stfts_raw_et_20260129_213401.joblib
20260129_214623,Fusion_PCA(FFT+MFCC+STFT),Individual_PCA,RF,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.61081862449646,fusion_pca_rf_20260129_214623.joblib
20260129_214850,Fusion_PCA(FFTs+MFCCs+STFT),Individual_PCA,RF,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.5104422569274902,fusion_ffts_mfccs_stft_pca_rf_20260129_214850.joblib
20260129_213401,STFTs,Raw,KNN,0.695,0.6944990739924155,0.8971,0.7454248421206918,0.0049488544464111,stfts_raw_knn_20260129_213401.joblib
20260129_212200,FFTs,Scaled,SVM,0.695,0.6935069936321501,0.9324666666666668,0.8334177541339605,20.0978684425354,ffts_scaled_svm_20260129_212200.joblib
20260129_213401,STFTs,Raw,RF,0.69,0.6910354669788632,0.9055166666666666,0.7873321752294733,1.839677810668945,stfts_raw_rf_20260129_213401.joblib
